text,condition,record_type
"Emphasize need to treat all dogs, cats, and ferrets in the household concurrently for ectoparasites.",Parasites,Clinical Notes
Cat seems painful when she opens her mouth wide to yawn.,Ear Infections,Owner Observation
Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,Digestive Issues,Clinical Notes
Cat has scaly patches on her ear tips.,Skin Irritations,Owner Observation
"My cat vomited, then had diarrhea, now just hiding.",Digestive Issues,Owner Observation
Cat vomits immediately after drinking water.,Digestive Issues,Owner Observation
"Rule out toxin ingestion (plants, chemicals, medications).",Digestive Issues,Clinical Notes
My cat has inflamed nail beds.,Skin Irritations,Owner Observation
Re-evaluate efficacy and adjust dosage of pain medications at each follow-up.,Mobility Problems,Clinical Notes
Prescribe ronidazole for suspected Tritrichomonas foetus infection in feline.,Parasites,Clinical Notes
My cat's hearing seems diminished.,Ear Infections,Owner Observation
Cat vomited 5 times in the past few hours.,Digestive Issues,Owner Observation
My cat vomited what looked like a roundworm.,Digestive Issues,Owner Observation
Cat has nerve damage affecting her leg.,Mobility Problems,Owner Observation
Long-term maintenance therapy with weekly ear cleaner/medication may be required.,Ear Infections,Clinical Notes
"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite.",Parasites,Owner Observation
Plasma cell pododermatitis ('pillow foot') in feline patient; consider doxycycline trial.,Skin Irritations,Clinical Notes
Cat has lost hair around the outside of her ears from scratching.,Ear Infections,Owner Observation
Cat has stopped perching in high places.,Mobility Problems,Owner Observation
"Cat's claws are very long, maybe it hurts to use the scratching post.",Mobility Problems,Owner Observation
Cat cries out in pain when yawning or eating.,Ear Infections,Owner Observation
Cat struggles to climb onto the sofa.,Mobility Problems,Owner Observation
Cat has crusty sores on the edges of her ear flaps.,Ear Infections,Owner Observation
Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.,Skin Irritations,Clinical Notes
Cat keeps rubbing her head/ears against the furniture.,Ear Infections,Owner Observation
"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting.",Digestive Issues,Clinical Notes
Cat is losing weight but eating more than usual.,Digestive Issues,Owner Observation
Assess for potential medication side effects causing GI upset.,Digestive Issues,Clinical Notes
My cat's ear mites seem resistant to the usual treatments.,Parasites,Owner Observation
My cat is drooling excessively and pawing at her mouth.,Digestive Issues,Owner Observation
"My kitten has a potbelly and isn't growing well, the breeder said she might have worms.",Parasites,Owner Observation
"My cat brought in a mouse, now I'm worried about worms.",Parasites,Owner Observation
"Cat has greasy, matted fur along its back.",Skin Irritations,Owner Observation
"Recommend using Tris-EDTA containing ear cleaner prior to antibiotic application, especially for Pseudomonas.",Ear Infections,Clinical Notes
My cat's ear infection isn't responding to the current antibiotic drops.,Ear Infections,Owner Observation
My kitten has developed scabs behind her ears.,Skin Irritations,Owner Observation
"My cat has small, millet-seed like scabs all over its body.",Skin Irritations,Owner Observation
Tritrichomonas foetus testing recommended for chronic feline diarrhea.,Digestive Issues,Clinical Notes
Consider stress as a trigger for colitis; advise environmental enrichment/behavior modification.,Digestive Issues,Clinical Notes
"Feline patient exhibits miliary dermatitis pattern; rule out FAD, food allergy, atopy.",Skin Irritations,Clinical Notes
Emphasize finishing the full course of medication.,Ear Infections,Clinical Notes
My dog's ear infection came back shortly after finishing medication.,Ear Infections,Owner Observation
Cat has hair loss above the eyes.,Skin Irritations,Owner Observation
Cat is grooming one specific spot on her leg until it's bald.,Mobility Problems,Owner Observation
"Lungworm (e.g., Aelurostrongylus abstrusus in cats) suspected based on respiratory signs; Baermann fecal analysis recommended.",Parasites,Clinical Notes
Kitten has lost fur on its paws.,Skin Irritations,Owner Observation
Ensure medication is stored and handled correctly.,Ear Infections,Clinical Notes
Educate owner on signs of dehydration.,Digestive Issues,Clinical Notes
My cat gags frequently without bringing anything up.,Digestive Issues,Owner Observation
"My cat has dark wax, but the vet said it wasn't mites.",Ear Infections,Owner Observation
"Cat is scratching her face, causing small cuts near her eyes.",Skin Irritations,Owner Observation
My kitten has ringworm-like circles appearing on her face.,Skin Irritations,Owner Observation
Scaling and redness on back; medicated bath advised.,Skin Irritations,Clinical Notes
"Cat cries and flinches if I try to look in her ears, they look black inside.",Parasites,Owner Observation
Psychogenic alopecia diagnosed in feline patient; behavioral modification and medication discussed.,Skin Irritations,Clinical Notes
"My cat is regurgitating food (undigested, tube-shaped) right after eating.",Digestive Issues,Owner Observation
My cat has Horner's syndrome related to an ear infection.,Ear Infections,Owner Observation
Cat has created raw spots and scabs around her ears from scratching.,Ear Infections,Owner Observation
My cat seems to have inflammation deep within the ear.,Ear Infections,Owner Observation
Document date of tick removal and location.,Parasites,Clinical Notes
"Cat is constantly scratching around the neck, causing hair loss.",Skin Irritations,Owner Observation
Ensure owner understands frequency and duration of deworming medication.,Parasites,Clinical Notes
Vomiting and lethargy; check for intoxication.,Digestive Issues,Clinical Notes
"Facial nerve paralysis (lip droop, inability to blink) noted; may be temporary or permanent complication of otitis.",Ear Infections,Clinical Notes
Cat has developed facial nerve paralysis (droopy face) on one side.,Ear Infections,Owner Observation
Cat vomits bile mostly in the early morning before breakfast.,Digestive Issues,Owner Observation
My cat has redness and swelling of the chin.,Skin Irritations,Owner Observation
"Cat has a greasy feel to her coat, especially near the tail base.",Skin Irritations,Owner Observation
"Bladder management (manual expression, catheterization) required for paralyzed patients.",Mobility Problems,Clinical Notes
My cat has bad breath and occasionally vomits foam.,Digestive Issues,Owner Observation
Cat’s ears have a brown discharge and bad smell.,Ear Infections,Owner Observation
Prescribe anti-nausea medication (maropitant) for vestibular signs.,Ear Infections,Clinical Notes
Dietary modification: increase fiber for constipation/colitis.,Digestive Issues,Clinical Notes
Otitis with waxy debris; flush and medicate.,Ear Infections,Clinical Notes
Cat has developed hives/welts after being outside.,Skin Irritations,Owner Observation
My cat has crusty lesions around her eyes and nose.,Skin Irritations,Owner Observation
Cat vomited a large hairball this morning.,Digestive Issues,Owner Observation
Pain medication (buprenorphine) administered for abdominal discomfort.,Digestive Issues,Clinical Notes
My cat tries to vomit frequently but only retches.,Digestive Issues,Owner Observation
"Cat has visibly swollen joints, especially her wrists (carpi).",Mobility Problems,Owner Observation
My cat is holding her head tilted to one side.,Ear Infections,Owner Observation
Cat looks carefully before jumping down from even low heights.,Mobility Problems,Owner Observation
"My cat used to love chasing laser pointers, now she just watches.",Mobility Problems,Owner Observation
"Educate owner on recognizing signs of dehydration (lethargy, sunken eyes, tacky gums).",Digestive Issues,Clinical Notes
Found a tick embedded in my cat's skin after she was outside.,Parasites,Owner Observation
"Comedones present on chin (feline acne); advise topical cleansing, possible antibiotics if secondary infection.",Skin Irritations,Clinical Notes
Cat has hair loss around the eyes and ears.,Parasites,Owner Observation
Consider nasopharyngeal polyp in young cats with upper respiratory or ear signs.,Ear Infections,Clinical Notes
Cat's chin has blackheads and some pimple-like sores (chin acne).,Skin Irritations,Owner Observation
My cat vomited a plant leaf.,Digestive Issues,Owner Observation
Cat got diarrhea after drinking milk.,Digestive Issues,Owner Observation
I found a live flea crawling on my arm after holding the cat.,Parasites,Owner Observation
"Cat has a swollen area on her face, like an abscess.",Skin Irritations,Owner Observation
My cat has fleas and tapeworms.,Parasites,Owner Observation
